10000
734	14	0	126	4
3006	60	11	468	20
8372	167	4	1003	13
6475	129	6	498	8
3114	62	19	334	9
8876	177	1	736	7
5163	103	14	131	2
6654	133	8	528	15
6743	134	15	297	4
9172	183	20	1478	17
9951	199	20	445	2
4920	98	14	663	4
1795	35	5	38	0
1502	30	2	248	19
2861	57	14	261	19
4944	98	14	271	0
3429	68	8	603	3
2426	48	0	466	7
7308	146	5	1388	9
5015	100	7	252	17
5194	103	8	602	19
2346	46	5	317	18
4189	83	14	739	7
1176	23	14	203	11
8763	175	10	376	5
2275	45	20	375	19
1734	34	19	40	14
5571	111	1	431	8
6148	122	12	216	0
9881	197	20	1134	14
9879	197	16	1038	17
3896	77	8	369	7
4240	84	12	412	18
1175	23	0	108	17
128	2	15	20	6
3317	66	8	385	2
3435	68	15	554	10
5277	105	8	595	15
6558	131	12	451	8
3069	61	13	415	20
5087	101	1	617	8
4351	87	15	147	18
6293	125	18	766	12
1610	32	1	108	2
8786	175	7	372	16
350	7	1	61	10
2751	55	14	195	10
4259	85	0	833	13
2727	54	12	341	4
8949	178	20	1360	10
5461	109	16	266	13
3213	64	6	545	14
4258	85	6	803	1
8950	179	11	936	19
6340	126	0	768	3
765	15	6	152	7
4451	89	10	675	4
5956	119	17	686	20
624	12	15	96	5
1319	26	0	206	0
312	6	4	61	0
8188	163	10	1310	6
1676	33	7	315	8
4350	87	19	237	18
1039	20	13	94	6
4609	92	9	266	16
9717	194	6	1596	18
4034	80	6	237	18
8219	164	18	1474	9
7331	146	20	188	3
5646	112	16	671	4
9424	188	7	1055	14
7511	150	7	684	2
9524	190	12	955	19
4182	83	14	625	7
7521	150	19	1360	0
9403	188	15	1121	9
6706	134	1	649	18
2786	55	16	275	8
9360	187	16	218	8
8297	165	18	1370	17
413	8	10	72	8
8676	173	12	1122	15
9930	198	19	1745	5
3518	70	16	264	17
1768	35	20	190	10
3169	63	10	168	2
7060	141	9	990	2
8823	176	3	736	13
2118	42	10	344	12
1467	29	10	89	2
4634	92	16	117	10
720	14	1	45	8
4452	89	17	728	14
8601	172	1	569	20
1210	24	19	183	20
2031	40	3	161	14
9082	181	5	1754	18
8731	174	6	480	13
8459	169	15	271	8
522	10	3	41	10
1959	39	11	197	18
1386	27	10	162	5
6344	126	10	547	2
9749	194	16	788	4
5261	105	9	983	20
9061	181	16	1723	11
7014	140	14	827	0
4557	91	17	748	13
2818	56	5	117	2
9064	181	16	1570	6
4428	88	1	378	16
4746	94	7	554	15
8303	166	15	609	19
5436	108	0	795	1
5593	111	0	525	16
7889	157	9	1509	12
2676	53	18	370	19
6846	136	13	571	15
1540	30	17	275	15
7941	158	11	1149	17
2791	55	1	279	8
9534	190	10	643	13
5454	109	12	595	9
4866	97	7	597	16
2230	44	16	183	17
9078	181	11	1470	14
